Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11
Área 004; 21 284 ; 11 797 ; 9 487 ;   951,41 ;  1 112,06 ;   751,63 ;   510,00 ;   510,00 ;   510,00 ;2100055003004
Bacabal; 53 350 ; 26 022 ; 27 328 ;   699,15 ;   829,47 ;   575,06 ;   510,00 ;   510,00 ;   510,00 ;2101202
Área 001; 8 995 ; 4 285 ; 4 710 ;  1 176,87 ;  1 377,88 ;   994,04 ;   510,00 ;   580,00 ;   510,00 ;2101202003001
Área 002; 8 268 ; 4 075 ; 4 193 ;   397,22 ;   455,86 ;   340,24 ;   400,00 ;   510,00 ;   200,00 ;2101202003002
Área 003; 16 361 ; 8 101 ; 8 260 ;   487,93 ;   569,25 ;   408,18 ;   500,00 ;   510,00 ;   350,00 ;2101202003003
Área 004; 19 726 ; 9 562 ; 10 165 ;   783,04 ;   963,41 ;   613,39 ;   510,00 ;   510,00 ;   510,00 ;2101202003004
Balsas; 43 225 ; 22 284 ; 20 941 ;  1 010,88 ;  1 233,58 ;   773,88 ;   510,00 ;   600,00 ;   510,00 ;2101400
Área 001; 15 278 ; 7 730 ; 7 548 ;  1 115,75 ;  1 400,75 ;   823,90 ;   510,00 ;   700,00 ;   510,00 ;2101400003001
Área 002; 9 879 ; 5 334 ; 4 545 ;   837,85 ;  1 022,68 ;   620,95 ;   510,00 ;   530,00 ;   510,00 ;2101400003002
Área 003; 18 068 ; 9 220 ; 8 847 ;  1 016,81 ;  1 215,46 ;   809,78 ;   510,00 ;   600,00 ;   510,00 ;2101400003003
Barra do Corda; 37 498 ; 18 252 ; 19 247 ;   651,11 ;   775,56 ;   533,10 ;   510,00 ;   510,00 ;   462,00 ;2101608
Área 001; 6 525 ; 3 016 ; 3 509 ;   367,72 ;   399,70 ;   340,23 ;   300,00 ;   455,00 ;   160,00 ;2101608003001
Área 002; 15 630 ; 7 579 ; 8 052 ;   850,52 ;  1 042,11 ;   670,19 ;   510,00 ;   510,00 ;   510,00 ;2101608003002
Área 003; 15 343 ; 7 657 ; 7 686 ;   568,49 ;   659,78 ;   477,55 ;   510,00 ;   510,00 ;   500,00 ;2101608003003
Barreirinhas; 21 286 ; 10 065 ; 11 221 ;   500,66 ;   607,72 ;   404,63 ;   400,00 ;   500,00 ;   220,00 ;2101707
Área 001; 6 544 ; 2 917 ; 3 627 ;   384,67 ;   458,50 ;   325,30 ;   300,00 ;   410,00 ;   152,00 ;2101707003001
Área 002; 14 742 ; 7 148 ; 7 594 ;   552,14 ;   668,62 ;   442,51 ;   410,00 ;   510,00 ;   300,00 ;2101707003002
Bom Jardim; 15 859 ; 7 323 ; 8 536 ;   477,06 ;   586,12 ;   383,51 ;   400,00 ;   500,00 ;   290,00 ;2102002
Área 001; 8 529 ; 3 730 ; 4 799 ;   554,33 ;   725,48 ;   421,31 ;   450,00 ;   510,00 ;   320,00 ;2102002003001
Área 002; 7 330 ; 3 593 ; 3 738 ;   387,15 ;   441,45 ;   334,96 ;   334,00 ;   400,00 ;   226,00 ;2102002003002
Buriticupu; 25 636 ; 13 604 ; 12 032 ;   543,29 ;   674,64 ;   394,77 ;   400,00 ;   510,00 ;   200,00 ;2102325
Área 001; 10 052 ; 5 497 ; 4 555 ;   694,55 ;   860,78 ;   493,93 ;   510,00 ;   510,00 ;   300,00 ;2102325003001
Área 002; 15 584 ; 8 107 ; 7 477 ;   445,72 ;   548,42 ;   334,37 ;   350,00 ;   500,00 ;   167,00 ;2102325003002
Caxias; 78 188 ; 37 111 ; 41 078 ;   635,20 ;   752,84 ;   528,93 ;   510,00 ;   510,00 ;   500,00 ;2103000
Área 001; 10 213 ; 5 004 ; 5 210 ;   636,55 ;   743,61 ;   533,72 ;   510,00 ;   510,00 ;   510,00 ;2103000003001
Área 002; 10 528 ; 4 985 ; 5 543 ;   666,05 ;   816,01 ;   531,19 ;   510,00 ;   510,00 ;   510,00 ;2103000003002
Área 003; 8 530 ; 4 244 ; 4 286 ;   567,81 ;   691,39 ;   445,43 ;   510,00 ;   510,00 ;   510,00 ;2103000003003
Área 004; 8 936 ; 3 926 ; 5 011 ;  1 104,96 ;  1 260,49 ;   983,10 ;   510,00 ;   510,00 ;   510,00 ;2103000003004
Área 005; 8 630 ; 4 217 ; 4 413 ;   493,29 ;   571,73 ;   418,35 ;   480,00 ;   510,00 ;   320,00 ;2103000003005
Área 006; 13 577 ; 6 341 ; 7 236 ;   368,57 ;   424,60 ;   319,48 ;   300,00 ;   400,00 ;   197,00 ;2103000003006
Área 007; 17 773 ; 8 394 ; 9 379 ;   684,90 ;   853,40 ;   534,08 ;   510,00 ;   510,00 ;   500,00 ;2103000003007
Chapadinha; 30 689 ; 14 308 ; 16 381 ;   583,33 ;   697,54 ;   483,57 ;   510,00 ;   510,00 ;   380,00 ;2103208
Área 001; 12 604 ; 5 814 ; 6 789 ;   467,30 ;   563,44 ;   384,96 ;   400,00 ;   510,00 ;   200,00 ;2103208003001
Área 002; 18 085 ; 8 494 ; 9 591 ;   664,19 ;   789,32 ;   553,37 ;   510,00 ;   510,00 ;   500,00 ;2103208003002
Codó; 55 836 ; 27 287 ; 28 550 ;   564,53 ;   667,17 ;   466,43 ;   510,00 ;   510,00 ;   380,00 ;2103307
Área 001; 9 704 ; 4 738 ; 4 966 ;   552,85 ;   668,77 ;   442,25 ;   510,00 ;   510,00 ;   360,00 ;2103307003001
Área 002; 12 637 ; 6 102 ; 6 534 ;   414,23 ;   475,05 ;   357,43 ;   380,00 ;   500,00 ;   262,00 ;2103307003002
Área 003; 17 105 ; 8 177 ; 8 927 ;   794,94 ;   953,07 ;   650,09 ;   510,00 ;   510,00 ;   510,00 ;2103307003003
Área 004; 16 391 ; 8 269 ; 8 122 ;   446,88 ;   525,32 ;   367,03 ;   400,00 ;   510,00 ;   218,00 ;2103307003004
Coelho Neto; 20 341 ; 9 476 ; 10 865 ;   517,44 ;   592,78 ;   451,73 ;   510,00 ;   510,00 ;   312,00 ;2103406
Área 001; 9 403 ; 4 463 ; 4 940 ;   539,47 ;   618,90 ;   467,72 ;   510,00 ;   510,00 ;   465,00 ;2103406003001
Área 002; 10 937 ; 5 013 ; 5 924 ;   498,50 ;   569,53 ;   438,39 ;   500,00 ;   510,00 ;   262,00 ;2103406003002
Colinas; 18 067 ; 8 585 ; 9 483 ;   601,58 ;   713,49 ;   500,27 ;   400,00 ;   510,00 ;   256,00 ;2103505
Área 001; 9 220 ; 4 250 ; 4 970 ;   700,10 ;   813,70 ;   602,96 ;   510,00 ;   510,00 ;   420,00 ;2103505003001
Área 002; 8 848 ; 4 335 ; 4 513 ;   498,92 ;   615,24 ;   387,19 ;   292,00 ;   400,00 ;   167,00 ;2103505003002
Coroatá; 26 684 ; 11 891 ; 14 792 ;   510,38 ;   630,99 ;   413,43 ;   500,00 ;   510,00 ;   300,00 ;2103604
Área 001; 8 136 ; 3 567 ; 4 569 ;   364,82 ;   416,57 ;   324,41 ;   368,00 ;   510,00 ;   200,00 ;2103604003001
Área 002; 18 548 ; 8 324 ; 10 224 ;   574,23 ;   722,87 ;   453,21 ;   510,00 ;   510,00 ;   362,00 ;2103604003002
Cururupu; 16 922 ; 8 688 ; 8 234 ;   524,31 ;   554,02 ;   492,95 ;   312,00 ;   300,00 ;   317,00 ;2103703
Área 001; 7 869 ; 4 325 ; 3 544 ;   382,33 ;   425,88 ;   329,18 ;   250,00 ;   300,00 ;   200,00 ;2103703003001
Área 002; 9 053 ; 4 363 ; 4 690 ;   647,71 ;   681,03 ;   616,71 ;   435,00 ;   400,00 ;   510,00 ;2103703003002
Estreito; 18 148 ; 10 703 ; 7 445 ;   984,59 ;  1 213,94 ;   654,87 ;   510,00 ;   750,00 ;   510,00 ;2104057
Área 001; 8 549 ; 4 856 ; 3 694 ;  1 149,97 ;  1 441,71 ;   766,48 ;   600,00 ;   800,00 ;   510,00 ;2104057003001
Área 002; 9 599 ; 5 848 ; 3 751 ;   837,29 ;  1 024,81 ;   544,97 ;   510,00 ;   700,00 ;   510,00 ;2104057003002
Grajaú; 28 060 ; 14 588 ; 13 472 ;   738,10 ;   936,01 ;   523,80 ;   510,00 ;   510,00 ;   380,00 ;2104800
Área 001; 11 453 ; 6 071 ; 5 382 ;   642,40 ;   834,15 ;   426,12 ;   510,00 ;   510,00 ;   200,00 ;2104800003001
Área 002; 16 607 ; 8 517 ; 8 090 ;   804,10 ;  1 008,61 ;   588,79 ;   510,00 ;   510,00 ;   450,00 ;2104800003002
Imperatriz; 139 815 ; 73 151 ; 66 663 ;  1 070,22 ;  1 293,55 ;   825,14 ;   510,00 ;   600,00 ;   510,00 ;2105302
Área 001; 7 724 ; 4 253 ; 3 471 ;   713,73 ;   772,06 ;   642,25 ;   510,00 ;   510,00 ;   510,00 ;2105302004001
Área 002; 9 115 ; 4 429 ; 4 686 ;  1 322,11 ;  1 559,35 ;  1 097,87 ;   680,00 ;   800,00 ;   550,00 ;2105302004002
Área 003; 8 945 ; 4 330 ; 4 616 ;  1 068,74 ;  1 370,85 ;   785,37 ;   600,00 ;   800,00 ;   510,00 ;2105302004003
Área 004; 8 723 ; 4 174 ; 4 549 ;  2 011,33 ;  2 896,99 ;  1 198,63 ;   800,00 ;  1 000,00 ;   600,00 ;2105302004004
Área 005; 9 712 ; 5 232 ; 4 480 ;   675,02 ;   816,87 ;   509,37 ;   510,00 ;   510,00 ;   510,00 ;2105302004005
Área 006; 10 568 ; 5 462 ; 5 107 ;   972,44 ;  1 151,49 ;   780,96 ;   510,00 ;   600,00 ;   510,00 ;2105302004006
Área 007; 11 196 ; 5 718 ; 5 478 ;  1 483,99 ;  1 770,83 ;  1 184,57 ;   600,00 ;   750,00 ;   510,00 ;2105302004007
Área 008; 12 032 ; 6 323 ; 5 709 ;   939,69 ;  1 054,70 ;   812,33 ;   510,00 ;   600,00 ;   510,00 ;2105302004008
Área 009; 14 040 ; 7 620 ; 6 420 ;   878,51 ;  1 062,84 ;   659,71 ;   510,00 ;   550,00 ;   510,00 ;2105302004009
Área 010; 11 514 ; 6 238 ; 5 276 ;   893,15 ;  1 072,53 ;   681,06 ;   510,00 ;   510,00 ;   510,00 ;2105302004010
Área 011; 16 320 ; 8 628 ; 7 692 ;  1 159,32 ;  1 435,37 ;   849,66 ;   510,00 ;   600,00 ;   510,00 ;2105302004011
Área 012; 19 924 ; 10 744 ; 9 180 ;   937,01 ;  1 105,23 ;   740,13 ;   510,00 ;   510,00 ;   510,00 ;2105302004012
Itapecuru Mirim; 25 584 ; 12 535 ; 13 049 ;   509,38 ;   600,87 ;   421,50 ;   510,00 ;   510,00 ;   315,00 ;2105401
Área 001; 11 340 ; 5 552 ; 5 788 ;   644,30 ;   754,61 ;   538,48 ;   510,00 ;   510,00 ;   510,00 ;2105401003001
Área 002; 14 243 ; 6 982 ; 7 261 ;   401,96 ;   478,62 ;   328,25 ;   350,00 ;   510,00 ;   180,00 ;2105401003002
Lago da Pedra; 22 679 ; 10 988 ; 11 690 ;   522,28 ;   620,74 ;   429,74 ;   400,00 ;   500,00 ;   275,00 ;2105708
Área 001; 10 658 ; 4 975 ; 5 682 ;   559,78 ;   658,51 ;   473,34 ;   510,00 ;   510,00 ;   400,00 ;2105708003001
Área 002; 12 021 ; 6 013 ; 6 008 ;   489,03 ;   589,49 ;   388,49 ;   300,00 ;   400,00 ;   212,00 ;2105708003002
Paço do Lumiar; 53 527 ; 27 970 ; 25 557 ;   829,29 ;   953,18 ;   693,70 ;   510,00 ;   600,00 ;   510,00 ;2107506
Área 001; 7 154 ; 4 031 ; 3 122 ;   843,45 ;   986,42 ;   658,87 ;   550,00 ;   700,00 ;   510,00 ;2107506003001
Área 002; 16 985 ; 8 878 ; 8 108 ;   628,07 ;   705,01 ;   543,82 ;   510,00 ;   510,00 ;   500,00 ;2107506003002
Área 003; 13 734 ; 6 936 ; 6 798 ;  1 126,80 ;  1 295,43 ;   954,76 ;   700,00 ;   800,00 ;   600,00 ;2107506003003
Área 004; 15 654 ; 8 125 ; 7 529 ;   780,12 ;   915,70 ;   633,80 ;   515,00 ;   600,00 ;   510,00 ;2107506003004
Parnarama; 14 160 ; 6 138 ; 8 022 ;   443,38 ;   517,37 ;   386,76 ;   510,00 ;   510,00 ;   212,00 ;2107803
Área 001; 7 486 ; 3 305 ; 4 181 ;   530,51 ;   614,35 ;   464,22 ;   510,00 ;   510,00 ;   510,00 ;2107803003001
Área 002; 6 674 ; 2 833 ; 3 842 ;   345,66 ;   404,22 ;   302,48 ;   214,00 ;   510,00 ;   134,00 ;2107803003002
Pedreiras; 21 034 ; 10 217 ; 10 817 ;   807,42 ;  1 016,70 ;   609,74 ;   510,00 ;   510,00 ;   510,00 ;2108207
Área 001; 8 609 ; 4 205 ; 4 404 ;   786,28 ;   946,75 ;   633,07 ;   510,00 ;   510,00 ;   510,00 ;2108207003001
Área 002; 12 426 ; 6 012 ; 6 413 ;   822,06 ;  1 065,62 ;   593,72 ;   510,00 ;   510,00 ;   510,00 ;2108207003002
Pinheiro; 39 515 ; 19 074 ; 20 441 ;   569,23 ;   663,07 ;   481,66 ;   510,00 ;   510,00 ;   480,00 ;2108603
Área 001; 8 878 ; 4 485 ; 4 393 ;   395,60 ;   463,95 ;   325,83 ;   312,00 ;   510,00 ;   224,00 ;2108603003001
Área 002; 13 097 ; 6 088 ; 7 009 ;   656,62 ;   740,61 ;   583,66 ;   510,00 ;   510,00 ;   510,00 ;2108603003002
Área 003; 17 541 ; 8 501 ; 9 040 ;   591,85 ;   712,60 ;   478,29 ;   510,00 ;   510,00 ;   500,00 ;2108603003003
Presidente Dutra; 24 115 ; 12 142 ; 11 973 ;   715,35 ;   876,37 ;   552,04 ;   510,00 ;   510,00 ;   500,00 ;2109106
Área 001; 13 453 ; 6 560 ; 6 893 ;   867,83 ;  1 098,40 ;   648,42 ;   510,00 ;   510,00 ;   510,00 ;2109106003001
Área 002; 10 661 ; 5 582 ; 5 079 ;   522,92 ;   615,45 ;   421,25 ;   500,00 ;   510,00 ;   318,00 ;2109106003002
Rosário; 18 962 ; 9 739 ; 9 223 ;   560,33 ;   644,86 ;   471,08 ;   510,00 ;   510,00 ;   400,00 ;2109601
Área 001; 7 516 ; 3 827 ; 3 689 ;   404,17 ;   451,86 ;   354,70 ;   340,00 ;   500,00 ;   262,00 ;2109601003001
Área 002; 11 446 ; 5 912 ; 5 534 ;   662,88 ;   769,81 ;   548,65 ;   510,00 ;   510,00 ;   510,00 ;2109601003002
Santa Helena; 18 485 ; 9 137 ; 9 348 ;   458,38 ;   508,47 ;   409,42 ;   400,00 ;   434,00 ;   350,00 ;2109809
Área 001; 9 225 ; 4 543 ; 4 682 ;   416,88 ;   447,72 ;   386,95 ;   350,00 ;   400,00 ;   312,00 ;2109809003001
Área 002; 9 260 ; 4 594 ; 4 666 ;   499,72 ;   568,54 ;   431,96 ;   400,00 ;   500,00 ;   360,00 ;2109809003002
Santa Inês; 40 863 ; 20 376 ; 20 487 ;   751,86 ;   917,23 ;   587,37 ;   510,00 ;   510,00 ;   510,00 ;2109908
Área 001; 7 987 ; 4 089 ; 3 898 ;   511,59 ;   615,82 ;   402,27 ;   500,00 ;   510,00 ;   312,00 ;2109908003001
Área 002; 15 350 ; 7 663 ; 7 687 ;   876,35 ;  1 086,15 ;   667,18 ;   510,00 ;   510,00 ;   510,00 ;2109908003002
Área 003; 17 527 ; 8 625 ; 8 902 ;   752,31 ;   910,04 ;   599,52 ;   510,00 ;   510,00 ;   510,00 ;2109908003003
Santa Luzia; 29 582 ; 13 671 ; 15 911 ;   506,73 ;   613,48 ;   415,01 ;   400,00 ;   510,00 ;   262,00 ;2110005
Área 001; 7 805 ; 3 958 ; 3 847 ;   410,41 ;   504,04 ;   314,06 ;   350,00 ;   500,00 ;   150,00 ;2110005003001
Área 002; 7 437 ; 3 306 ; 4 131 ;   410,56 ;   498,53 ;   340,15 ;   350,00 ;   400,00 ;   164,00 ;2110005003002
Área 003; 14 340 ; 6 407 ; 7 933 ;   609,03 ;   740,40 ;   502,94 ;   510,00 ;   510,00 ;   400,00 ;2110005003003
São Bento; 17 497 ; 7 646 ; 9 851 ;   475,23 ;   564,93 ;   405,61 ;   500,00 ;   510,00 ;   350,00 ;2110500
Área 001; 9 531 ; 4 327 ; 5 204 ;   547,43 ;   648,19 ;   463,66 ;   510,00 ;   510,00 ;   510,00 ;2110500003001
Área 002; 7 966 ; 3 320 ; 4 646 ;   388,85 ;   456,40 ;   340,58 ;   250,00 ;   400,00 ;   160,00 ;2110500003002
São Domingos do Maranhão; 15 098 ; 7 096 ; 8 001 ;   512,25 ;   595,77 ;   438,17 ;   400,00 ;   500,00 ;   284,00 ;2110708
Área 001; 7 504 ; 3 463 ; 4 042 ;   592,72 ;   720,85 ;   482,93 ;   500,00 ;   510,00 ;   400,00 ;2110708003001
Área 002; 7 593 ; 3 634 ; 3 960 ;   432,72 ;   476,57 ;   392,48 ;   350,00 ;   408,00 ;   221,00 ;2110708003002
São José de Ribamar; 80 674 ; 41 963 ; 38 711 ;   848,41 ;   986,71 ;   698,48 ;   510,00 ;   600,00 ;   510,00 ;2111201
Área 001; 10 069 ; 5 213 ; 4 856 ;   691,18 ;   787,98 ;   587,27 ;   510,00 ;   510,00 ;   510,00 ;2111201003001
Área 002; 10 759 ; 5 428 ; 5 331 ;   592,08 ;   677,45 ;   505,17 ;   510,00 ;   510,00 ;   500,00 ;2111201003002
Área 003; 8 472 ; 4 457 ; 4 015 ;   620,14 ;   691,70 ;   540,70 ;   510,00 ;   510,00 ;   400,00 ;2111201003003
Área 004; 8 070 ; 4 302 ; 3 768 ;   642,09 ;   786,31 ;   477,41 ;   510,00 ;   510,00 ;   510,00 ;2111201003004
Área 005; 7 895 ; 4 041 ; 3 853 ;   722,44 ;   840,03 ;   599,12 ;   510,00 ;   600,00 ;   510,00 ;2111201003005
Área 006; 17 168 ; 8 985 ; 8 183 ;  1 024,09 ;  1 223,87 ;   804,75 ;   600,00 ;   700,00 ;   510,00 ;2111201003006
Área 007; 18 241 ; 9 537 ; 8 704 ;  1 172,84 ;  1 338,35 ;   991,47 ;   622,00 ;   780,00 ;   520,00 ;2111201003007
São Luís; 550 611 ; 272 786 ; 277 825 ;  1 416,41 ;  1 673,82 ;  1 163,66 ;   600,00 ;   700,00 ;   510,00 ;2111300
Angelim; 24 869 ; 11 731 ; 13 138 ;  1 804,37 ;  2 035,82 ;  1 597,70 ;  1 000,00 ;  1 200,00 ;   900,00 ;2111300005007
Anil; 22 100 ; 10 743 ; 11 357 ;  1 082,57 ;  1 301,05 ;   875,90 ;   585,00 ;   700,00 ;   510,00 ;2111300005006
Anjo da Guarda; 19 501 ; 10 112 ; 9 390 ;   805,62 ;   994,77 ;   601,93 ;   510,00 ;   690,00 ;   510,00 ;2111300005022
Bairro de Fátima; 17 093 ; 8 393 ; 8 701 ;   948,14 ;  1 122,87 ;   779,58 ;   510,00 ;   600,00 ;   510,00 ;2111300005003
Centro; 19 362 ; 8 601 ; 10 761 ;  1 456,62 ;  1 778,49 ;  1 199,37 ;   650,00 ;   800,00 ;   578,00 ;2111300005001
Cidade Olímpica; 19 056 ; 9 718 ; 9 339 ;   639,13 ;   821,98 ;   448,86 ;   510,00 ;   510,00 ;   450,00 ;2111300005029
Cidade Operária; 21 929 ; 10 479 ; 11 450 ;  1 073,68 ;  1 231,51 ;   929,25 ;   659,00 ;   800,00 ;   510,00 ;2111300005027
Cohab; 18 531 ; 8 990 ; 9 540 ;  1 236,41 ;  1 422,95 ;  1 060,62 ;   650,00 ;   750,00 ;   565,00 ;2111300005015
Cohama; 24 444 ; 11 237 ; 13 207 ;  3 020,20 ;  3 880,70 ;  2 288,07 ;  1 500,00 ;  1 960,00 ;  1 020,00 ;2111300005008
Cohatrac; 17 716 ; 8 461 ; 9 255 ;  1 992,73 ;  2 235,14 ;  1 771,11 ;  1 200,00 ;  1 500,00 ;  1 000,00 ;2111300005014
Coroadinho; 16 247 ; 8 368 ; 7 879 ;   788,82 ;   958,36 ;   608,76 ;   510,00 ;   510,00 ;   510,00 ;2111300005019
Itapiracó; 17 913 ; 8 570 ; 9 343 ;  1 823,54 ;  2 049,83 ;  1 615,98 ;  1 000,00 ;  1 200,00 ;   800,00 ;2111300005013
Jardim América; 20 920 ; 10 864 ; 10 056 ;   816,86 ;   996,86 ;   622,40 ;   510,00 ;   680,00 ;   510,00 ;2111300005028
João Paulo; 20 579 ; 9 428 ; 11 151 ;   963,88 ;  1 141,53 ;   813,67 ;   600,00 ;   660,00 ;   510,00 ;2111300005004
Litoral; 20 657 ; 9 980 ; 10 678 ;  6 571,65 ;  8 186,98 ;  5 061,93 ;  3 000,00 ;  5 000,00 ;  2 500,00 ;2111300005011
Maracanã; 16 702 ; 9 380 ; 7 323 ;   646,50 ;   810,30 ;   436,67 ;   510,00 ;   530,00 ;   400,00 ;2111300005023
Mauro Fecury; 16 817 ; 8 938 ; 7 879 ;   629,29 ;   717,24 ;   529,53 ;   510,00 ;   510,00 ;   510,00 ;2111300005021
Monte Castelo; 17 347 ; 8 469 ; 8 878 ;   931,01 ;  1 069,43 ;   798,99 ;   510,00 ;   600,00 ;   510,00 ;2111300005002
Sacavém; 16 723 ; 8 443 ; 8 280 ;   741,97 ;   834,88 ;   647,23 ;   510,00 ;   600,00 ;   510,00 ;2111300005018
Santo Antônio; 16 119 ; 8 121 ; 7 998 ;  1 009,90 ;  1 214,57 ;   802,10 ;   550,00 ;   600,00 ;   510,00 ;2111300005017
São Cristóvão; 19 912 ; 10 260 ; 9 651 ;  1 147,54 ;  1 331,98 ;   951,46 ;   600,00 ;   800,00 ;   510,00 ;2111300005016
São Francisco; 19 866 ; 9 328 ; 10 538 ;  1 739,60 ;  2 098,42 ;  1 422,00 ;   600,00 ;   620,00 ;   510,00 ;2111300005010
São Raimundo; 15 222 ; 8 079 ; 7 144 ;   764,13 ;   976,63 ;   523,82 ;   510,00 ;   600,00 ;   510,00 ;2111300005025
Tibiri; 14 097 ; 7 935 ; 6 162 ;   582,49 ;   708,96 ;   419,63 ;   510,00 ;   510,00 ;   357,00 ;2111300005024
Tirirical; 15 650 ; 7 922 ; 7 728 ;   989,25 ;  1 209,56 ;   763,41 ;   510,00 ;   700,00 ;   510,00 ;2111300005026
Turu; 19 891 ; 9 788 ; 10 103 ;   924,79 ;  1 105,07 ;   750,13 ;   510,00 ;   600,00 ;   510,00 ;2111300005012
Vila Embratel; 23 218 ; 12 317 ; 10 901 ;   676,89 ;   816,66 ;   518,97 ;   510,00 ;   560,00 ;   510,00 ;2111300005020
Vila Palmeira; 19 075 ; 9 243 ; 9 832 ;   939,24 ;  1 140,14 ;   750,37 ;   510,00 ;   580,00 ;   510,00 ;2111300005005
Vinhais; 19 053 ; 8 891 ; 10 162 ;  2 837,75 ;  3 502,46 ;  2 256,22 ;  1 119,00 ;  1 400,00 ;  1 000,00 ;2111300005009
São Mateus do Maranhão; 18 469 ; 8 788 ; 9 680 ;   759,39 ;  1 148,20 ;   406,40 ;   500,00 ;   510,00 ;   300,00 ;2111508
Área 001; 7 669 ; 3 549 ; 4 121 ;  1 063,64 ;  1 817,57 ;   414,39 ;   500,00 ;   510,00 ;   200,00 ;2111508003001
Área 002; 10 799 ; 5 240 ; 5 559 ;   543,32 ;   694,87 ;   400,47 ;   500,00 ;   510,00 ;   318,00 ;2111508003002
Timon; 81 882 ; 41 301 ; 40 581 ;   676,85 ;   798,64 ;   552,89 ;   510,00 ;   510,00 ;   510,00 ;2112209
Área 001; 9 265 ; 4 699 ; 4 567 ;   580,60 ;   693,82 ;   464,11 ;   510,00 ;   510,00 ;   510,00 ;2112209003001
Área 002; 9 740 ; 4 749 ; 4 991 ;   755,90 ;   962,48 ;   559,34 ;   510,00 ;   510,00 ;   510,00 ;2112209003002
Área 003; 9 520 ; 4 809 ; 4 711 ;   811,10 ;   949,44 ;   669,86 ;   510,00 ;   510,00 ;   510,00 ;2112209003003
Área 004; 10 287 ; 5 152 ; 5 135 ;   655,37 ;   838,72 ;   471,45 ;   510,00 ;   510,00 ;   450,00 ;2112209003004
Área 005; 10 932 ; 5 164 ; 5 768 ;  1 038,62 ;  1 157,47 ;   932,22 ;   510,00 ;   515,00 ;   510,00 ;2112209003005
Área 006; 15 919 ; 8 495 ; 7 424 ;   563,24 ;   648,54 ;   465,63 ;   510,00 ;   510,00 ;   400,00 ;2112209003006
Área 007; 16 219 ; 8 233 ; 7 986 ;   486,84 ;   580,61 ;   390,17 ;   510,00 ;   510,00 ;   300,00 ;2112209003007
Tuntum; 18 171 ; 8 286 ; 9 885 ;   458,86 ;   532,25 ;   397,34 ;   400,00 ;   500,00 ;   260,00 ;2112308
Área 001; 10 066 ; 4 665 ; 5 401 ;   548,39 ;   612,54 ;   492,99 ;   500,00 ;   510,00 ;   450,00 ;2112308003001
Área 002; 8 106 ; 3 621 ; 4 484 ;   347,68 ;   428,82 ;   282,15 ;   240,00 ;   350,00 ;   134,00 ;2112308003002
Tutóia; 22 985 ; 11 176 ; 11 809 ;   535,33 ;   627,76 ;   447,84 ;   480,00 ;   510,00 ;   298,00 ;2112506
Área 001; 10 408 ; 4 909 ; 5 500 ;   429,09 ;   494,44 ;   370,76 ;   350,00 ;   510,00 ;   192,00 ;2112506003001
Área 002; 12 577 ; 6 267 ; 6 309 ;   623,25 ;   732,19 ;   515,04 ;   500,00 ;   510,00 ;   380,00 ;2112506003002
Vargem Grande; 17 403 ; 7 735 ; 9 668 ;   457,02 ;   546,13 ;   385,73 ;   370,00 ;   510,00 ;   200,00 ;2112704
Área 001; 5 784 ; 2 392 ; 3 392 ;   333,95 ;   420,72 ;   272,77 ;   200,00 ;   300,00 ;   134,00 ;2112704003001
Área 002; 11 620 ; 5 343 ; 6 276 ;   518,28 ;   602,26 ;   446,78 ;   500,00 ;   510,00 ;   362,00 ;2112704003002
Viana; 25 441 ; 12 305 ; 13 135 ;   522,60 ;   578,91 ;   469,85 ;   400,00 ;   500,00 ;   284,00 ;2112803
Área 001; 10 254 ; 4 875 ; 5 379 ;   635,77 ;   669,37 ;   605,31 ;   510,00 ;   510,00 ;   510,00 ;2112803003001
Área 002; 15 186 ; 7 430 ; 7 757 ;   446,19 ;   519,56 ;   375,92 ;   300,00 ;   400,00 ;   200,00 ;2112803003002
Zé Doca; 22 989 ; 11 467 ; 11 522 ;   553,91 ;   633,76 ;   474,45 ;   510,00 ;   510,00 ;   450,00 ;2114007
Área 001; 8 562 ; 4 272 ; 4 290 ;   427,82 ;   484,35 ;   371,54 ;   400,00 ;   500,00 ;   250,00 ;2114007003001
Área 002; 14 427 ; 7 196 ; 7 232 ;   628,74 ;   722,46 ;   535,50 ;   510,00 ;   510,00 ;   510,00 ;2114007003002
Piauí;;;;;;;;;;
Altos; 19 534 ; 9 262 ; 10 271 ;   612,87 ;   686,46 ;   546,51 ;   510,00 ;   510,00 ;   500,00 ;2200400
Área 001; 8 336 ; 3 880 ; 4 456 ;   783,84 ;   813,77 ;   757,78 ;   510,00 ;   510,00 ;   510,00 ;2200400003001
Área 002; 11 197 ; 5 383 ; 5 815 ;   485,59 ;   594,70 ;   384,59 ;   510,00 ;   510,00 ;   344,00 ;2200400003002
Barras; 22 417 ; 10 890 ; 11 527 ;   508,02 ;   605,12 ;   416,30 ;   510,00 ;   510,00 ;   284,00 ;2201200
Área 001; 8 973 ; 4 415 ; 4 558 ;   368,52 ;   429,41 ;   309,52 ;   300,00 ;   510,00 ;   168,00 ;2201200003001
Área 002; 13 444 ; 6 474 ; 6 970 ;   601,13 ;   724,94 ;   486,12 ;   510,00 ;   510,00 ;   469,00 ;2201200003002
