Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11
Área 005; 9 612 ; 5 278 ; 4 334 ;  1 139,90 ;  1 317,54 ;   923,56 ;   750,00 ;   900,00 ;   600,00 ;1100205004005
Área 006; 9 075 ; 5 039 ; 4 035 ;  1 032,54 ;  1 205,74 ;   816,26 ;   750,00 ;   900,00 ;   600,00 ;1100205004006
Área 007; 9 730 ; 5 051 ; 4 679 ;  2 134,82 ;  2 427,58 ;  1 818,73 ;  1 200,00 ;  1 500,00 ;  1 000,00 ;1100205004007
Área 008; 9 255 ; 5 174 ; 4 080 ;   997,94 ;  1 185,33 ;   760,29 ;   700,00 ;   900,00 ;   510,00 ;1100205004008
Área 009; 8 938 ; 4 763 ; 4 175 ;  1 878,93 ;  2 178,20 ;  1 537,55 ;  1 020,00 ;  1 300,00 ;   900,00 ;1100205004009
Área 010; 7 368 ; 3 907 ; 3 461 ;  1 662,06 ;  1 911,07 ;  1 381,00 ;  1 000,00 ;  1 020,00 ;   800,00 ;1100205004010
Área 011; 10 052 ; 5 400 ; 4 652 ;  1 244,56 ;  1 446,84 ;  1 009,77 ;   800,00 ;   900,00 ;   650,00 ;1100205004011
Área 012; 11 539 ; 6 631 ; 4 908 ;   858,68 ;  1 029,17 ;   628,36 ;   622,00 ;   800,00 ;   510,00 ;1100205004012
Área 013; 8 574 ; 5 085 ; 3 489 ;  1 084,74 ;  1 259,68 ;   829,74 ;   655,00 ;   800,00 ;   540,00 ;1100205004013
Área 014; 14 125 ; 7 374 ; 6 751 ;  3 031,37 ;  3 620,24 ;  2 388,19 ;  1 500,00 ;  1 900,00 ;  1 350,00 ;1100205004014
Área 015; 10 195 ; 5 553 ; 4 642 ;  2 192,69 ;  2 480,66 ;  1 848,23 ;  1 000,00 ;  1 200,00 ;   850,00 ;1100205004015
Área 016; 7 634 ; 4 085 ; 3 549 ;  2 563,88 ;  3 410,77 ;  1 589,15 ;  1 020,00 ;  1 300,00 ;  1 000,00 ;1100205004016
Área 017; 9 044 ; 4 761 ; 4 283 ;  2 262,24 ;  2 744,38 ;  1 726,35 ;  1 200,00 ;  1 500,00 ;  1 000,00 ;1100205004017
Área 018; 15 905 ; 8 444 ; 7 461 ;  2 305,22 ;  2 704,23 ;  1 853,62 ;  1 000,00 ;  1 200,00 ;   800,00 ;1100205004018
Área 019; 9 428 ; 4 932 ; 4 496 ;  2 360,86 ;  2 857,22 ;  1 816,36 ;  1 100,00 ;  1 200,00 ;  1 000,00 ;1100205004019
Área 020; 9 315 ; 6 319 ; 2 996 ;   819,98 ;   953,99 ;   537,29 ;   520,00 ;   700,00 ;   510,00 ;1100205004020
Área 021; 17 676 ; 9 543 ; 8 133 ;  1 283,31 ;  1 509,24 ;  1 018,23 ;   900,00 ;  1 000,00 ;   700,00 ;1100205004021
Área 022; 18 177 ; 10 555 ; 7 622 ;  1 134,94 ;  1 299,45 ;   907,13 ;   800,00 ;   900,00 ;   600,00 ;1100205004022
Rolim de Moura; 30 197 ; 16 122 ; 14 075 ;  1 058,97 ;  1 324,12 ;   755,28 ;   552,00 ;   700,00 ;   510,00 ;1100288
Área 001; 12 598 ; 6 692 ; 5 906 ;   934,30 ;  1 258,27 ;   567,22 ;   510,00 ;   650,00 ;   510,00 ;1100288003001
Área 002; 17 599 ; 9 429 ; 8 169 ;  1 148,22 ;  1 370,85 ;   891,25 ;   600,00 ;   750,00 ;   510,00 ;1100288003002
Vilhena; 45 666 ; 24 811 ; 20 855 ;  1 260,39 ;  1 463,63 ;  1 018,59 ;   700,00 ;   850,00 ;   540,00 ;1100304
Área 001; 8 937 ; 4 879 ; 4 059 ;  1 071,42 ;  1 337,97 ;   751,00 ;   700,00 ;   900,00 ;   510,00 ;1100304003001
Área 002; 14 395 ; 8 084 ; 6 311 ;   846,73 ;  1 011,71 ;   635,42 ;   576,00 ;   700,00 ;   510,00 ;1100304003002
Área 003; 22 333 ; 11 849 ; 10 485 ;  1 602,64 ;  1 823,71 ;  1 352,81 ;   850,00 ;  1 000,00 ;   700,00 ;1100304003003
Acre;;;;;;;;;;
Cruzeiro do Sul; 34 578 ; 18 009 ; 16 569 ;   986,73 ;  1 212,99 ;   740,79 ;   510,00 ;   530,00 ;   510,00 ;1200203
Área 001; 9 133 ; 4 702 ; 4 431 ;  1 276,05 ;  1 743,15 ;   780,44 ;   510,00 ;   600,00 ;   510,00 ;1200203003001
Área 002; 13 654 ; 7 240 ; 6 414 ;  1 123,49 ;  1 316,64 ;   905,48 ;   510,00 ;   644,00 ;   510,00 ;1200203003002
Área 003; 11 791 ; 6 067 ; 5 723 ;   604,26 ;   678,51 ;   525,53 ;   510,00 ;   510,00 ;   460,00 ;1200203003003
Rio Branco; 172 003 ; 88 961 ; 83 043 ;  1 367,46 ;  1 540,35 ;  1 182,25 ;   650,00 ;   800,00 ;   530,00 ;1200401
Área 001; 12 488 ; 6 500 ; 5 987 ;  1 006,85 ;  1 066,26 ;   942,35 ;   510,00 ;   600,00 ;   510,00 ;1200401005001
Área 002; 22 478 ; 10 894 ; 11 584 ;  2 336,19 ;  2 741,16 ;  1 955,34 ;  1 020,00 ;  1 200,00 ;  1 000,00 ;1200401005002
Área 003; 28 260 ; 14 730 ; 13 530 ;  1 046,93 ;  1 224,13 ;   854,02 ;   600,00 ;   700,00 ;   510,00 ;1200401005003
